Date,Research Firm,Action,From,To,Ticker
1999-08-13,Merrill Lynch,Initiated,,NT Accum/LT Buy,MMM
1999-08-02,Banc of America Sec,Downgrade,Hold,Underperform,MMM
1999-05-06,NB Montgomery,Initiated,,Hold,MMM
1999-05-05,Schroder & Co,Downgrade,Outperform,Perform In Line,MMM
1999-02-02,Prudential,Downgrade,Accumulate,Hold,MMM
1999-01-26,FAC/Eqts Fst Albany,Upgrade,Neutral,Accumulate,MMM
1998-12-17,FAC/Eqts Fst Albany,Downgrade,Buy,Neutral,MMM
1998-10-21,DLJ,Downgrade,Buy,Mkt Perform,MMM
1998-06-10,Mgn Stnly Dn Witter,Downgrade,Outperform,Neutral,MMM
1998-04-29,FAC/Eqts Fst Albany,Upgrade,Neutral,Buy,MMM
1998-03-16,Prudential,Upgrade,Hold,Buy,MMM
2012-11-20,MKM Partners,Upgrade,Neutral,Buy,MRK
2012-07-13,MP Advisors,Upgrade,Market Perform,Outperform,MRK
2012-02-03,MKM Partners,Downgrade,Buy,Neutral,MRK
2011-11-29,MKM Partners,Initiated,,Buy,MRK
2010-01-13,Credit Suisse,Upgrade,Neutral,Outperform,MRK
2009-11-09,Leerink Swann,Upgrade,Mkt Perform,Outperform,MRK
2009-03-20,Cowen & Co,Upgrade,Neutral,Outperform,MRK
2009-03-13,Bernstein,Upgrade,Mkt Perform,Outperform,MRK
2008-10-17,UBS,Upgrade,Neutral,Buy,MRK
2008-09-10,Bernstein,Downgrade,Outperform,Mkt Perform,MRK
2008-07-22,Leerink Swann,Downgrade,Outperform,Mkt Perform,MRK
2008-07-18,Citigroup,Initiated,,Buy,MRK
2008-07-07,UBS,Downgrade,Buy,Neutral,MRK
2008-06-25,JP Morgan,Initiated,,Overweight,MRK
2008-01-28,UBS,Upgrade,Neutral,Buy,MRK
2007-10-24,Bernstein,Initiated,,Outperform,MRK
2007-09-13,Banc of America Sec,Upgrade,Neutral,Buy,MRK
2007-08-06,Cowen & Co,Upgrade,Neutral,Outperform,MRK
2007-07-12,AG Edwards,Upgrade,Hold,Buy,MRK
2007-05-29,HSBC Securities,Upgrade,Underweight,Neutral,MRK
2007-04-13,BMO Capital Markets,Initiated,,Outperform,MRK
2007-04-13,Goldman Sachs,Upgrade,Sell,Neutral,MRK
2007-02-26,Citigroup,Upgrade,Hold,Buy,MRK
2007-01-03,Bear Stearns,Upgrade,Peer Perform,Outperform,MRK
2006-11-30,HSBC Securities,Downgrade,Neutral,Underweight,MRK
2006-08-21,Lehman Brothers,Upgrade,Equal-weight,Overweight,MRK
2006-02-23,Friedman Billings,Downgrade,Mkt Perform,Underperform,MRK
2006-02-03,Leerink Swann,Upgrade,Mkt Perform,Outperform,MRK
2006-01-27,HSBC Securities,Initiated,,Neutral,MRK
2006-01-05,Goldman Sachs,Downgrade,In-Line,Underperform,MRK
2005-12-21,Matrix Research,Downgrade,Hold,Sell,MRK
2005-12-19,Deutsche Securities,Upgrade,Hold,Buy,MRK
2005-12-12,Hilliard Lyons,Downgrade,Long-term Buy,Neutral,MRK
2005-10-28,Morgan Stanley,Upgrade,Equal-weight,Overweight,MRK
2005-09-29,Banc of America Sec,Initiated,,Neutral,MRK
2005-09-07,Bear Stearns,Initiated,,Peer Perform,MRK
2005-08-22,CSFB,Upgrade,Underperform,Neutral,MRK
2005-06-13,Friedman Billings,Downgrade,Mkt Perform,Underperform,MRK
2005-04-01,Caris & Company,Initiated,,Average,MRK
2005-02-22,Sun Trust Rbsn Humphrey,Upgrade,Neutral,Buy,MRK
2004-12-15,Raymond James,Upgrade,Mkt Perform,Strong Buy,MRK
2004-12-13,JP Morgan,Initiated,,Neutral,MRK
2004-11-01,Prudential,Downgrade,Overweight,Neutral,MRK
2004-07-16,Deutsche Securities,Initiated,,Hold,MRK
2004-06-16,Schwab Soundview,Initiated,,Neutral,MRK
2004-04-15,Harris Nesbitt Gerard,Initiated,,Neutral,MRK
2004-03-15,Thomas Weisel,Upgrade,Peer Perform,Outperform,MRK
2004-03-04,Caris & Company,Initiated,,Average,MRK
2004-01-12,CSFB,Downgrade,Neutral,Underperform,MRK
2003-11-21,Friedman Billings,Downgrade,Outperform,Mkt Perform,MRK
2003-11-21,Morgan Stanley,Downgrade,Overweight,Equal-weight,MRK
2003-11-12,Prudential,Upgrade,Underweight,Overweight,MRK
2003-07-14,CIBC Wrld Mkts,Upgrade,Sector Underperform,Sector Perform,MRK
2003-05-23,Friedman Billings,Upgrade,Mkt Perform,Outperform,MRK
2003-04-23,Goldman Sachs,Downgrade,Outperform,In-Line,MRK
2003-03-05,First Albany,Initiated,,Neutral,MRK
2003-01-30,Banc of America Sec,Upgrade,Neutral,Buy,MRK
2003-01-28,JP Morgan,Upgrade,Underweight,Neutral,MRK
2002-12-04,Raymond James,Downgrade,Mkt Perform,Underperform,MRK
