Date,Open,High,Low,Close,Volume,Adj Close
2008-05-23,5833.20,5840.00,5753.20,5768.00,000,5768.00
2008-05-22,5799.50,5863.80,5738.90,5826.90,000,5826.90
2008-05-21,5867.80,5868.10,5809.30,5823.40,000,5823.40
2008-05-20,5944.50,5948.30,5893.80,5908.10,000,5908.10
2008-05-19,5950.00,5980.80,5933.40,5949.40,000,5949.40
2008-05-16,5931.40,5971.50,5922.70,5931.00,000,5931.00
2008-05-15,5873.90,5911.90,5863.80,5890.70,000,5890.70
2008-05-14,5823.70,5887.80,5808.70,5872.70,000,5872.70
2008-05-13,5828.10,5842.00,5792.30,5812.70,000,5812.70
2008-05-12,5774.20,5846.80,5774.20,5828.50,000,5828.50
2008-05-09,5740.60,5810.70,5722.80,5771.80,000,5771.80
2008-05-08,5630.90,5731.90,5590.60,5723.20,000,5723.20
2008-05-07,5726.80,5747.20,5656.70,5668.40,000,5668.40
2008-05-06,5734.60,5734.90,5680.30,5701.40,000,5701.40
2008-05-05,5729.70,5751.60,5716.50,5730.30,000,5730.30
2008-05-02,5603.30,5700.40,5599.70,5700.40,000,5700.40
2008-05-01,5592.60,5593.40,5538.70,5585.80,000,5585.80
2008-04-30,5575.10,5620.50,5516.00,5595.40,000,5595.40
2008-04-29,5613.00,5626.60,5575.70,5606.90,000,5606.90
2008-04-28,5599.20,5672.70,5573.00,5602.70,000,5602.70
2008-04-25,5587.30,5587.30,5587.30,5587.30,000,5587.30
2008-04-24,5637.80,5639.10,5557.40,5587.30,000,5587.30
2008-04-23,5564.40,5653.90,5564.30,5652.90,000,5652.90
2008-04-22,5597.30,5597.30,5524.60,5564.60,000,5564.60
2008-04-21,5460.40,5604.00,5460.30,5600.30,000,5600.30
2008-04-18,5505.70,5519.10,5395.00,5429.70,000,5429.70
2008-04-17,5514.90,5567.60,5507.90,5519.00,000,5519.00
2008-04-16,5426.60,5482.00,5425.70,5470.30,000,5470.30
2008-04-15,5339.30,5422.00,5336.70,5400.40,000,5400.40
2008-04-14,5408.30,5409.50,5309.20,5342.40,000,5342.40
2008-04-11,5442.20,5456.30,5386.10,5439.30,000,5439.30
2008-04-10,5512.10,5512.60,5435.00,5446.40,000,5446.40
2008-04-09,5606.30,5610.10,5509.60,5520.20,000,5520.20
2008-04-08,5625.40,5630.50,5554.00,5571.50,000,5571.50
2008-04-07,5643.70,5643.70,5605.40,5625.00,000,5625.00
2008-04-04,5621.30,5657.70,5595.90,5619.60,000,5619.60
2008-04-03,5514.00,5609.40,5508.90,5608.90,000,5608.90
2008-04-02,5395.20,5528.10,5394.20,5502.90,000,5502.90
2008-04-01,5363.40,5373.30,5301.00,5361.20,000,5361.20
2008-03-31,5345.60,5375.00,5316.90,5355.70,000,5355.70
2008-03-28,5355.00,5355.00,5275.20,5351.10,000,5351.10
2008-03-27,5372.80,5374.30,5334.30,5371.60,000,5371.60
2008-03-26,5327.30,5389.70,5322.30,5381.40,000,5381.40
2008-03-25,5170.80,5354.20,5170.80,5318.40,000,5318.40
